game,reward
600,158.741666667
700,159.225
800,155.8
900,155.675
1000,159.475
1100,156.833333333
1200,157.108333333
1300,162.641666667
1400,169.4
1500,170.191666667
1600,174.45
1700,183.541666667
1800,187.441666667
1900,192.558333333
2000,198.033333333
2100,199.791666667
2200,201.55
2300,200.083333333
2400,204.65
2500,202.45
2600,197.708333333
2700,203.808333333
2800,204.583333333
2900,207.516666667
3000,206.75
3100,209.141666667
3200,217.175
3300,218.65
3400,219.708333333
3500,220.025
3600,224.916666667
3700,227.733333333
3800,228.633333333
3900,230.758333333
4000,234.633333333
4100,235.108333333
4200,227.1
4300,223.633333333
4400,222.925
4500,217.45
4600,209.858333333
4700,201.9
4800,199.758333333
4900,200.6
5000,198.491666667
5100,203.441666667
5200,207.558333333
5300,213.008333333
5400,220.916666667
5500,218.583333333
5600,219.358333333
5700,220.958333333
5800,224.316666667
5900,226.008333333
6000,230.833333333
6100,237.083333333
6200,238.15
6300,233.783333333
6400,234.15
6500,238.975
6600,238.408333333
6700,241.833333333
6800,247.891666667
6900,253.066666667
7000,252.2
7100,253.908333333
7200,252.0
7300,248.025
7400,245.2
7500,247.383333333
7600,250.908333333
7700,251.233333333
7800,257.233333333
7900,259.916666667
8000,258.1
8100,259.916666667
8200,262.166666667
8300,262.891666667
8400,264.0
8500,266.9
8600,274.358333333
8700,276.933333333
8800,276.95
8900,281.116666667
9000,281.266666667
9100,278.75
9200,278.175
9300,280.416666667
9400,287.108333333
9500,285.691666667
9600,285.566666667
9700,293.883333333
9800,296.8
9900,292.35
10000,291.458333333
10100,294.341666667
10200,300.233333333
10300,296.608333333
10400,301.441666667
10500,308.25
10600,314.183333333
10700,318.483333333
10800,317.391666667
10900,324.116666667
11000,320.933333333
11100,325.433333333
11200,328.3
11300,332.116666667
11400,339.625
11500,333.85
11600,339.508333333
11700,341.216666667
11800,337.825
11900,329.116666667
12000,323.066666667
12100,336.258333333
12200,339.066666667
12300,343.383333333
12400,339.575
12500,348.941666667
12600,347.933333333
12700,343.258333333
12800,337.975
12900,328.866666667
13000,330.958333333
13100,326.716666667
13200,333.025
13300,331.275
13400,340.05
13500,345.208333333
13600,335.816666667
13700,328.875
13800,329.058333333
13900,339.508333333
14000,345.716666667
14100,348.316666667
14200,362.95
14300,376.525
14400,381.725
14500,383.666666667
14600,376.033333333
14700,371.35
14800,368.725
14900,371.083333333
15000,369.083333333
15100,361.033333333
15200,364.666666667
15300,374.125
15400,377.55
15500,375.083333333
15600,373.758333333
15700,378.2
15800,376.5
15900,373.133333333
16000,381.016666667
16100,387.85
16200,386.583333333
16300,392.533333333
16400,393.358333333
16500,390.733333333
16600,380.958333333
16700,377.166666667
16800,380.516666667
16900,375.216666667
17000,378.408333333
17100,387.441666667
17200,392.666666667
17300,391.866666667
17400,393.191666667
17500,395.833333333
17600,397.608333333
17700,393.325
17800,391.775
17900,392.566666667
18000,394.508333333
18100,387.3
18200,381.2
18300,382.433333333
18400,378.516666667
18500,375.408333333
18600,371.475
18700,372.391666667
18800,379.966666667
18900,374.925
19000,382.708333333
19100,382.483333333
19200,390.541666667
19300,391.091666667
19400,388.6
19500,392.383333333
19600,389.958333333
19700,392.708333333
19800,380.366666667
19900,381.3
20000,378.75
20100,381.408333333
20200,385.416666667
20300,386.691666667
20400,395.383333333
20500,404.608333333
20600,400.875
20700,394.491666667
20800,396.266666667
20900,397.475
21000,398.366666667
21100,399.266666667
21200,401.683333333
21300,408.933333333
21400,410.475
21500,412.5
21600,415.625
21700,418.133333333
21800,426.433333333
21900,427.641666667
22000,425.291666667
22100,431.608333333
22200,431.091666667
22300,421.141666667
22400,419.358333333
22500,415.6
22600,413.283333333
22700,406.608333333
22800,405.941666667
22900,410.425
23000,406.558333333
23100,413.283333333
23200,414.475
23300,416.425
23400,417.475
23500,418.225
23600,420.35
23700,424.125
23800,423.816666667
23900,421.4
24000,425.8
24100,427.541666667
24200,431.083333333
24300,429.608333333
24400,435.391666667
24500,443.866666667
24600,438.666666667
24700,437.416666667
24800,437.141666667
24900,429.016666667
25000,426.433333333
25100,421.433333333
25200,428.233333333
25300,424.816666667
25400,424.183333333
25500,430.258333333
25600,434.275
25700,431.808333333
25800,424.733333333
25900,423.05
26000,418.941666667
26100,416.575
26200,411.616666667
26300,420.5
26400,425.966666667
26500,437.825
26600,441.308333333
26700,449.575
26800,452.975
26900,447.666666667
27000,445.083333333
27100,439.866666667
27200,439.333333333
27300,435.208333333
27400,435.008333333
27500,434.658333333
27600,436.058333333
27700,436.95
27800,440.633333333
27900,443.083333333
28000,448.466666667
28100,443.558333333
28200,443.841666667
28300,439.1
28400,440.666666667
28500,436.783333333
28600,435.1
28700,443.083333333
28800,450.6
28900,460.658333333
29000,458.941666667
29100,459.891666667
29200,457.4
29300,457.191666667
29400,448.758333333
29500,446.316666667
29600,446.983333333
29700,447.633333333
29800,454.575
29900,458.533333333
30000,469.383333333
30100,473.216666667
30200,480.208333333
30300,482.983333333
30400,477.475
30500,473.841666667
30600,463.825
30700,458.058333333
30800,452.125
30900,447.291666667
31000,449.825
31100,448.708333333
31200,454.075
31300,455.958333333
31400,459.383333333
31500,465.375
31600,467.025
31700,467.891666667
31800,469.358333333
31900,473.1
32000,473.258333333
32100,474.833333333
32200,474.55
32300,477.008333333
32400,476.575
32500,476.741666667
32600,470.991666667
32700,471.791666667
32800,472.016666667
32900,469.5
33000,469.15
33100,461.25
33200,466.425
33300,458.141666667
33400,452.758333333
33500,456.95
33600,450.908333333
33700,455.083333333
33800,451.341666667
33900,455.666666667
34000,455.566666667
34100,454.708333333
34200,459.925
34300,459.875
34400,467.258333333
34500,459.991666667
34600,462.433333333
34700,458.425
34800,454.4
34900,455.975
35000,449.283333333
35100,461.3
35200,461.491666667
35300,464.383333333
35400,467.1
35500,472.641666667
35600,476.675
35700,469.058333333
35800,472.158333333
35900,478.591666667
36000,485.408333333
36100,475.058333333
36200,473.516666667
36300,483.083333333
36400,479.95
36500,475.025
36600,466.775
36700,472.458333333
36800,469.408333333
36900,461.291666667
37000,466.383333333
37100,464.791666667
37200,470.05
37300,471.383333333
37400,476.791666667
37500,483.341666667
37600,480.383333333
37700,481.533333333
37800,480.558333333
37900,476.95
38000,480.575
38100,476.366666667
38200,479.425
38300,479.45
38400,473.583333333
38500,472.741666667
38600,464.416666667
38700,468.891666667
38800,465.775
38900,474.341666667
39000,481.85
39100,486.933333333
39200,493.025
39300,486.325
39400,489.108333333
39500,480.441666667
39600,476.283333333
39700,478.808333333
39800,478.758333333
39900,483.208333333
40000,485.65
40100,490.908333333
40200,493.783333333
40300,490.066666667
40400,490.208333333
40500,489.516666667
40600,488.541666667
40700,489.258333333
40800,489.15
40900,488.85
41000,489.033333333
41100,488.833333333
41200,491.533333333
41300,485.358333333
41400,490.85
41500,491.541666667
41600,493.65
41700,496.233333333
41800,493.75
41900,494.991666667
42000,489.725
42100,489.283333333
42200,485.566666667
42300,492.558333333
42400,489.2
42500,495.75
42600,497.65
42700,505.583333333
42800,510.9
42900,506.35
43000,508.65
43100,507.833333333
43200,506.841666667
43300,502.933333333
43400,508.516666667
43500,512.7
43600,512.733333333
43700,516.683333333
43800,512.358333333
43900,511.133333333
44000,501.2
44100,496.191666667
44200,495.833333333
44300,484.441666667
44400,489.908333333
44500,493.433333333
44600,493.0
44700,491.433333333
44800,491.066666667
44900,494.633333333
45000,498.083333333
45100,493.741666667
45200,491.066666667
45300,487.158333333
45400,487.116666667
45500,482.866666667
45600,481.841666667
45700,483.183333333
45800,488.966666667
45900,493.958333333
46000,495.433333333
46100,499.55
46200,493.25
46300,494.925
46400,498.633333333
46500,501.525
46600,505.041666667
46700,507.791666667
46800,512.691666667
46900,516.583333333
47000,518.141666667
47100,511.316666667
47200,512.241666667
47300,515.075
47400,514.516666667
47500,511.283333333
47600,506.6
47700,509.066666667
47800,502.05
47900,496.95
48000,498.216666667
48100,500.708333333
48200,498.941666667
48300,504.441666667
48400,513.3
48500,518.091666667
48600,518.55
48700,512.05
48800,513.858333333
48900,512.783333333
49000,511.158333333
49100,511.633333333
49200,512.466666667
49300,514.916666667
49400,517.033333333
49500,512.816666667
49600,512.941666667
49700,507.425
49800,501.216666667
49900,500.358333333
50000,495.166666667
50100,497.575
50200,491.075
50300,492.458333333
50400,495.183333333
50500,497.825
50600,500.875
50700,503.016666667
50800,504.658333333
50900,503.208333333
51000,507.508333333
51100,507.633333333
51200,506.508333333
51300,502.108333333
51400,506.458333333
51500,508.141666667
51600,505.4
51700,503.941666667
51800,506.533333333
51900,508.816666667
52000,507.808333333
52100,505.675
52200,504.091666667
52300,512.383333333
52400,508.633333333
52500,508.925
52600,503.95
52700,506.025
52800,509.241666667
52900,506.95
53000,510.991666667
53100,514.341666667
53200,519.583333333
53300,518.308333333
53400,518.166666667
53500,508.733333333
53600,506.758333333
53700,502.691666667
53800,503.15
53900,503.833333333
54000,503.916666667
54100,507.116666667
54200,505.533333333
54300,506.85
54400,506.408333333
54500,504.658333333
54600,504.133333333
54700,505.45
54800,507.3
54900,505.525
55000,502.616666667
55100,507.258333333
55200,511.85
55300,510.266666667
55400,511.825
55500,513.916666667
55600,516.85
55700,513.625
55800,504.241666667
55900,500.975
56000,499.325
56100,500.25
56200,496.841666667
56300,499.416666667
56400,505.891666667
56500,508.0
56600,509.266666667
56700,507.191666667
56800,502.516666667
56900,501.075
57000,499.775
57100,502.75
57200,504.458333333
57300,506.65
57400,516.275
57500,520.641666667
57600,522.183333333
57700,522.166666667
57800,522.341666667
57900,524.816666667
58000,524.291666667
58100,518.083333333
58200,519.0
58300,522.366666667
58400,517.766666667
58500,514.1
58600,518.95
58700,529.258333333
58800,525.016666667
58900,523.675
59000,525.783333333
59100,528.475
59200,518.841666667
59300,519.375
59400,524.883333333
59500,525.008333333
59600,524.5
59700,526.825
59800,537.325
59900,533.783333333
60000,528.208333333
60100,521.925
60200,524.05
60300,520.75
60400,515.608333333
60500,508.25
60600,513.658333333
60700,515.541666667
60800,510.5
60900,509.125
61000,508.525
61100,514.508333333
61200,507.116666667
61300,509.366666667
61400,515.541666667
61500,511.583333333
61600,507.566666667
61700,496.1
61800,496.3
61900,492.008333333
62000,483.433333333
62100,485.641666667
62200,491.875
62300,497.316666667
62400,497.025
62500,502.108333333
62600,503.058333333
62700,506.75
62800,503.641666667
62900,510.891666667
63000,516.058333333
63100,518.683333333
63200,523.375
63300,523.175
63400,528.475
63500,522.441666667
63600,523.008333333
63700,522.283333333
63800,525.308333333
63900,526.416666667
64000,527.566666667
64100,529.441666667
64200,529.375
64300,520.625
64400,520.725
64500,519.25
64600,518.383333333
64700,518.916666667
64800,516.491666667
64900,523.025
65000,522.783333333
65100,521.216666667
65200,512.991666667
65300,511.9
65400,509.241666667
65500,506.775
65600,505.9
65700,507.275
65800,509.191666667
65900,510.208333333
66000,515.516666667
66100,518.941666667
66200,520.258333333
66300,518.3
66400,518.458333333
66500,522.566666667
66600,519.083333333
66700,524.908333333
66800,523.675
66900,523.541666667
67000,520.491666667
67100,517.475
67200,521.383333333
67300,519.75
67400,522.808333333
67500,523.841666667
67600,528.2
67700,526.975
67800,527.783333333
67900,525.8
68000,521.8
68100,529.625
68200,530.575
68300,534.3
68400,536.666666667
68500,530.291666667
68600,536.716666667
68700,527.891666667
68800,523.091666667
68900,519.666666667
69000,514.8
69100,522.891666667
69200,518.15
69300,518.141666667
69400,525.216666667
69500,532.358333333
69600,531.175
69700,528.816666667
69800,530.6
69900,534.166666667
70000,534.908333333
70100,531.958333333
70200,532.441666667
70300,533.541666667
70400,530.541666667
70500,532.408333333
70600,533.616666667
70700,533.741666667
70800,537.1
70900,531.0
71000,530.225
71100,525.141666667
71200,519.708333333
71300,512.15
71400,510.425
71500,514.65
71600,515.866666667
71700,519.983333333
71800,524.108333333
71900,529.191666667
72000,527.558333333
72100,524.691666667
72200,523.408333333
72300,517.9
72400,520.266666667
72500,520.058333333
72600,520.05
72700,523.75
72800,525.375
72900,534.191666667
73000,528.316666667
73100,533.291666667
73200,533.966666667
73300,534.558333333
73400,535.0
73500,531.833333333
73600,536.041666667
73700,531.2
73800,531.55
73900,533.95
74000,540.175
74100,535.766666667
74200,538.433333333
74300,541.516666667
74400,542.9
74500,537.316666667
74600,527.933333333
74700,526.458333333
74800,513.091666667
74900,510.775
75000,515.141666667
75100,520.683333333
75200,518.916666667
75300,521.4
75400,509.041666667
75500,510.458333333
75600,504.4
75700,495.875
75800,500.425
75900,503.0
76000,525.95
76100,523.283333333
76200,528.933333333
76300,536.183333333
76400,537.258333333
76500,536.816666667
76600,528.525
76700,530.733333333
76800,528.233333333
76900,524.583333333
77000,520.066666667
77100,519.141666667
77200,526.083333333
77300,519.533333333
77400,516.375
77500,509.258333333
77600,505.175
77700,507.333333333
77800,502.375
77900,513.358333333
78000,514.65
78100,521.183333333
78200,529.825
78300,530.516666667
78400,535.075
78500,530.625
78600,528.475
78700,530.941666667
78800,533.241666667
78900,536.875
79000,539.55
79100,536.591666667
79200,538.433333333
79300,539.591666667
79400,541.916666667
79500,543.283333333
79600,536.083333333
79700,542.425
79800,545.933333333
79900,543.1
80000,535.225
80100,528.333333333
80200,536.591666667
80300,532.7
80400,534.966666667
80500,539.283333333
80600,548.025
80700,542.066666667
80800,532.608333333
80900,530.983333333
81000,528.575
81100,528.458333333
81200,520.933333333
81300,529.916666667
81400,534.266666667
81500,538.525
81600,536.425
81700,534.758333333
81800,538.591666667
81900,531.841666667
82000,529.041666667
82100,521.733333333
82200,528.933333333
82300,530.025
82400,526.075
82500,527.041666667
82600,529.275
82700,539.366666667
82800,537.916666667
82900,534.483333333
83000,536.041666667
83100,539.85
83200,543.091666667
83300,536.55
83400,528.65
83500,535.425
83600,534.341666667
83700,536.383333333
83800,538.775
83900,544.391666667
84000,547.9
84100,542.258333333
84200,541.725
84300,539.466666667
84400,531.866666667
84500,531.45
84600,536.125
84700,533.691666667
84800,535.9
84900,539.05
85000,537.516666667
85100,534.716666667
85200,528.625
85300,533.658333333
85400,537.875
85500,533.766666667
85600,544.758333333
85700,553.733333333
85800,553.258333333
85900,551.358333333
86000,549.95
86100,558.208333333
86200,553.941666667
86300,550.1
86400,555.116666667
86500,558.483333333
86600,555.066666667
86700,550.966666667
86800,552.858333333
86900,549.616666667
87000,547.225
87100,549.483333333
87200,551.508333333
87300,551.608333333
87400,551.533333333
87500,552.708333333
87600,555.858333333
87700,550.008333333
87800,546.316666667
87900,546.033333333
88000,547.125
88100,544.808333333
88200,536.991666667
88300,538.541666667
88400,542.725
88500,545.425
88600,539.55
88700,545.075
88800,550.591666667
88900,549.116666667
89000,546.441666667
89100,540.966666667
